127.0.0.1 - - [09/Jan/2021:15:32:52 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2021:15:32:53 +0900] "GET /WEB-INF/classes/kr/co/controller/MemberController.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2021:15:32:54 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2021:15:33:01 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:15:33:01 +0900] "GET /resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:15:33:30 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:06:26 +0900] "GET /board/list HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:06:26 +0900] "GET /resources/css/list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:07:25 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:08:48 +0900] "POST /member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:08:48 +0900] "GET /board/list HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:08:50 +0900] "GET /member/myPage HTTP/1.1" 200 8643
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:08:50 +0900] "GET /resources/css/mypage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:09:00 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:09:00 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:09:05 +0900] "POST /member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:09:05 +0900] "GET /board/list HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:09:06 +0900] "GET /member/myPage HTTP/1.1" 200 6808
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:10:46 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:10:46 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:10:50 +0900] "GET /member/join HTTP/1.1" 200 4165
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:36 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:38 +0900] "GET /board/list HTTP/1.1" 200 8527
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:41 +0900] "GET /board/write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:41 +0900] "GET /member/home HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:46 +0900] "POST /member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:46 +0900] "GET /board/list HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:15:52 +0900] "GET /member/myPage HTTP/1.1" 200 6808
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:19:01 +0900] "GET /board/list HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:19:03 +0900] "GET /member/home HTTP/1.1" 200 2889
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:19:05 +0900] "GET /member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:16:19:05 +0900] "GET /member/home HTTP/1.1" 200 2459
